gvkey,conm,tic,sic,naics,linkprim,liid,linktype,linkid,lpermno,lpermco,USEDFLAG,linkdt,linkenddt,GSECTOR,GGROUP,GIND,GSUBIND,SPCINDCD,SPCSECCD
002916,CHAMPION ENTERPRISES INC,CHB,2451,321991,P,01,LU,2,41419,20426,1,19641229,E,25,2520,252010,25201030,305,976
002938,CHARMING SHOPPES INC,CHRS,5621,448120,P,01,LU,2,22753,894,1,19721214,E,25,2550,255040,25504010,452,976
002953,CHECKPOINT SYSTEMS INC,CKP,3669,334290,P,01,LU,1,22921,871,1,19790529,E,45,4520,452030,45203010,220,925
002968,JPMORGAN CHASE & CO,JPM,6020,523110,P,01,LC,2,47896,20436,1,19690305,E,40,4020,402010,40201020,850,800
002991,CHEVRON CORP,CVX,2911,324110,P,01,LU,1,14541,20440,1,19620131,E,10,1010,101020,10102010,390,935
002991,CHEVRON CORP,CVX,2911,324110,C,00X,LU,0,14541,20440,1,19500101,19620130,10,1010,101020,10102010,390,935
003007,BRINKER INTL INC,EAT,5812,722110,P,01,LU,1,23297,6760,1,19840106,E,25,2530,253010,25301040,420,978
003011,CHIRON CORP,CHIR,2834,325412,P,01,LU,1,23318,6249,1,19830802,20060428,35,3520,352010,35201010,147,905
003024,CHUBB CORP,CB,6331,524126,P,01,LU,1,59192,900,1,19740131,E,40,4030,403010,40301040,835,800
003024,CHUBB CORP,CB,6331,524126,C,00X,LU,0,59192,900,1,19740101,19740130,40,4030,403010,40301040,835,800
003026,CHURCH & DWIGHT INC,CHD,2840,325611,P,01,LU,2,23393,1103,1,19761230,E,30,3030,303010,30301010,320,978
003062,CINTAS CORP,CTAS,2320,315225,P,01,LC,1,23660,6304,1,19830819,E,20,2020,202010,20201070,175,976
003082,CITY NATIONAL CORP,CYN,6020,522110,P,01,LU,1,23916,1194,1,19810130,E,40,4010,401010,40101015,817,800
003082,CITY NATIONAL CORP,CYN,6020,522110,C,00X,LU,0,23916,1194,1,19810101,19810129,40,4010,401010,40101015,817,800
003087,CLAIRES STORES INC,CLE,5600,448150,P,01,LU,1,67459,6295,1,19810130,20070629,25,2550,255040,25504040,449,976
003093,CLARCOR INC,CLC,3564,333411,P,01,LU,2,23975,952,1,19721214,E,20,2010,201060,20106020,355,925
003103,CLAYTON HOMES INC,CMH,2451,321991,P,01,LU,1,66878,6096,1,19830622,20030829,25,2520,252010,25201030,305,976
003121,CLOROX CO/DE,CLX,2842,325612,P,01,LU,2,46578,20463,1,19680801,E,30,3030,303010,30301010,320,978
003144,COCA-COLA CO,KO,2080,311930,P,01,LU,1,11308,20468,1,19620131,E,30,3020,302010,30201030,145,978
003144,COCA-COLA CO,KO,2080,311930,C,00X,LU,0,11308,20468,1,19500101,19620130,30,3020,302010,30201030,145,978
003157,COHERENT INC,COHR,3826,334516,P,01,LU,2,24476,1033,1,19721214,E,45,4520,452030,45203010,230,940
003158,COHU INC,COHU,3825,334515,P,01,LU,1,30648,20470,1,19641231,E,45,4530,453010,45301010,220,925
003170,COLGATE-PALMOLIVE CO,CL,2844,325620,P,01,LU,1,18729,20473,1,19620131,E,30,3030,303010,30301010,320,978
003170,COLGATE-PALMOLIVE CO,CL,2844,325620,C,00X,LU,0,18729,20473,1,19500101,19620130,30,3030,303010,30301010,320,978
003221,AON CORP,AOC,6411,524210,P,01,LC,4,61735,20203,1,19800602,E,40,4030,403010,40301010,330,800
003221,AON CORP,AOC,6411,524210,P,01,LC,2,24986,23306,1,19721214,19800530,40,4030,403010,40301010,330,800
003226,COMCAST CORP,CMCSA,4841,515210,P,01,LC,4,89525,43613,1,20021119,E,25,2540,254010,25401025,150,978
